mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_search_time_s,final_model_training_time_s
0.031000661849975585,0.005402494055929437,0.006637048721313476,0.0009551593352641529,0.017670169402947963,{'alpha': np.float64(0.017670169402947963)},-1.0366524222442393,-1.0307099746583208,-1.0428815506048006,-1.0633957086102968,-1.0156163950236854,-1.0378512102282684,0.015650220874935356,26,8.690146923065186,0.032961368560791016
0.053257989883422854,0.03864389875270827,0.008476448059082032,0.0035254784346486147,50.61576888752309,{'alpha': np.float64(50.61576888752309)},-1.0447808380643104,-1.04135717710097,-1.0527131064622373,-1.0724258866074858,-1.0240302935514378,-1.0470614603572883,0.015770034576041644,96,8.690146923065186,0.032961368560791016
0.03201107978820801,0.004116042736919196,0.008513545989990235,0.0024579440753785087,2.465832945854912,{'alpha': np.float64(2.465832945854912)},-1.0368928374581448,-1.0305310510594756,-1.0435870349822205,-1.0635407742374163,-1.0153524856251326,-1.0379808366724776,0.01583328889968026,76,8.690146923065186,0.032961368560791016
0.030017328262329102,0.0027168377442833578,0.00708155632019043,0.002020230115847002,0.39079671568228835,{'alpha': np.float64(0.39079671568228835)},-1.0366576648682082,-1.030600241283002,-1.0429546668530296,-1.063371585476054,-1.0154672003468597,-1.0378102717654307,0.015699499622998492,7,8.690146923065186,0.032961368560791016
0.027134799957275392,0.0012547951706806718,0.0065288543701171875,0.002240271584735261,0.0008632008168602544,{'alpha': np.float64(0.0008632008168602544)},-1.0366525785946563,-1.030715958275918,-1.0428787364596626,-1.0633973770183915,-1.0156245131228738,-1.0378538326943005,0.01564772971214085,50,8.690146923065186,0.032961368560791016
0.027873992919921875,0.002407816872956028,0.005134963989257812,0.0021859656905526,0.0008629132190071859,{'alpha': np.float64(0.0008629132190071859)},-1.0366525785976415,-1.0307159583791325,-1.0428787364118903,-1.0633973770474012,-1.0156245132628974,-1.0378538327397926,0.015647729669297734,51,8.690146923065186,0.032961368560791016
0.026000165939331056,0.002189920531359653,0.0054438114166259766,0.0008002531736232023,0.00022310108018679258,{'alpha': np.float64(0.00022310108018679258)},-1.0366525852645063,-1.0307161880688236,-1.0428786301693087,-1.0633974416228043,-1.0156248248641602,-1.0378539339979205,0.01564763433880981,64,8.690146923065186,0.032961368560791016
0.03240952491760254,0.002664239950679117,0.006231784820556641,0.002119868454911512,15.741890047456648,{'alpha': np.float64(15.741890047456648)},-1.039610673365443,-1.033989846773704,-1.0476342098090232,-1.0665560249158619,-1.0189077501693156,-1.0413397010066696,0.015720598873806585,89,8.690146923065186,0.032961368560791016
0.028705358505249023,0.0017471602843003883,0.006716680526733398,0.0008969486981075124,0.4042872735027334,{'alpha': np.float64(0.4042872735027334)},-1.0366581456421764,-1.0305970430287994,-1.0429576597240928,-1.0633711440735818,-1.0154628375935268,-1.0378093660124352,0.015701080659158893,6,8.690146923065186,0.032961368560791016
0.026462411880493163,0.0038754513652243076,0.0057198524475097655,0.0020071756709900994,1.7718847354806828,{'alpha': np.float64(1.7718847354806828)},-1.0367857955515658,-1.0304795866441205,-1.043348098021452,-1.0634424912649711,-1.0152943798952083,-1.0378700702754637,0.015807682938227277,72,8.690146923065186,0.032961368560791016
