mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_time_s,final_model_training_time_s
6.2974138259887695,0.3567100651908218,0.07260637283325196,0.04391064013335645,0.749816047538945,0.4753571532049581,0.11479909127171077,10,5,1114,0.44583275285359114,0.09997491581800289,0.7836995567863468,"{'colsample_bytree': np.float64(0.749816047538945), 'gamma': np.float64(0.4753571532049581), 'learning_rate': np.float64(0.11479909127171077), 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 1114, 'reg_alpha': np.float64(0.44583275285359114), 'reg_lambda': np.float64(0.09997491581800289), 'subsample': np.float64(0.7836995567863468)}",-0.2604785126227904,-0.2803375445975129,-0.2928053530059262,-0.3032330851141445,-0.2662342980273396,-0.2806177586735427,0.015953320263868257,60,397.50853204727173,3.6126084327697754
8.823262262344361,1.1075528137370898,0.13648910522460939,0.05023937468395701,0.7334834444556088,0.07143340896097039,0.10263327094232794,10,2,843,0.8324426408004217,0.21233911067827616,0.6727299868828402,"{'colsample_bytree': np.float64(0.7334834444556088), 'gamma': np.float64(0.07143340896097039), 'learning_rate': np.float64(0.10263327094232794), 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 843, 'reg_alpha': np.float64(0.8324426408004217), 'reg_lambda': np.float64(0.21233911067827616), 'subsample': np.float64(0.6727299868828402)}",-0.2803605633370522,-0.286576423254563,-0.2917284345365036,-0.3085433157335086,-0.2807187193642726,-0.28958549124518,0.010361126810829619,94,397.50853204727173,3.6126084327697754
6.340026044845581,0.567967865248914,0.07850322723388672,0.015731219990849758,0.6733618039413735,0.15212112147976886,0.08371346474483568,9,9,1060,0.5247746602583891,0.3998609717152555,0.6186662652854461,"{'colsample_bytree': np.float64(0.6733618039413735), 'gamma': np.float64(0.15212112147976886), 'learning_rate': np.float64(0.08371346474483568), 'max_depth': 9, 'min_child_weight': 9, 'n_estimators': 1060, 'reg_alpha': np.float64(0.5247746602583891), 'reg_lambda': np.float64(0.3998609717152555), 'subsample': np.float64(0.6186662652854461)}",-0.2565036065030105,-0.28847577890873716,-0.28732798500953427,-0.3007627930172019,-0.27358372150221044,-0.2813307769881389,0.015106462633261875,64,397.50853204727173,3.6126084327697754
24.152986526489258,0.44396382985638,0.1463681697845459,0.020726571661344596,0.9895022075365837,0.11638567021515211,0.01859096517992312,11,3,1375,0.5142344384136116,0.5924145688620425,0.6185801650879991,"{'colsample_bytree': np.float64(0.9895022075365837), 'gamma': np.float64(0.11638567021515211), 'learning_rate': np.float64(0.01859096517992312), 'max_depth': 11, 'min_child_weight': 3, 'n_estimators': 1375, 'reg_alpha': np.float64(0.5142344384136116), 'reg_lambda': np.float64(0.5924145688620425), 'subsample': np.float64(0.6185801650879991)}",-0.2564250174651657,-0.2724873348350211,-0.2860434501187381,-0.2951092536393473,-0.26449169288726987,-0.2749113497891084,0.014057514424202852,31,397.50853204727173,3.6126084327697754
18.406530570983886,2.9795793588796484,0.10206165313720703,0.010311418799140007,0.8430179407605753,0.08526206184364576,0.014757738947791928,9,9,815,0.5632882178455393,0.3854165025399161,0.6063865008880857,"{'colsample_bytree': np.float64(0.8430179407605753), 'gamma': np.float64(0.08526206184364576), 'learning_rate': np.float64(0.014757738947791928), 'max_depth': 9, 'min_child_weight': 9, 'n_estimators': 815, 'reg_alpha': np.float64(0.5632882178455393), 'reg_lambda': np.float64(0.3854165025399161), 'subsample': np.float64(0.6063865008880857)}",-0.25501395396348914,-0.26940443545050713,-0.2801486243411136,-0.2911316542131807,-0.26365589279032203,-0.27187091215172254,0.012627143727970233,13,397.50853204727173,3.6126084327697754
5.081860780715942,0.04561130124768244,0.058912801742553714,0.011801135975824351,0.6923575302488596,0.12051273301300586,0.10748952782381874,9,8,1442,0.17336465350777208,0.3910606075732408,0.672894435115225,"{'colsample_bytree': np.float64(0.6923575302488596), 'gamma': np.float64(0.12051273301300586), 'learning_rate': np.float64(0.10748952782381874), 'max_depth': 9, 'min_child_weight': 8, 'n_estimators': 1442, 'reg_alpha': np.float64(0.17336465350777208), 'reg_lambda': np.float64(0.3910606075732408), 'subsample': np.float64(0.672894435115225)}",-0.2671393033249507,-0.2972226517751637,-0.29198265923372424,-0.30403571578540295,-0.2824469709584354,-0.2885654602155354,0.01282551466504347,93,397.50853204727173,3.6126084327697754
5.27525897026062,0.13765576698076165,0.042613887786865236,0.004458389686485916,0.902144564127061,0.21257793724562235,0.03619124943022832,9,6,976,0.9695846277645586,0.7751328233611146,0.9757995766256756,"{'colsample_bytree': np.float64(0.902144564127061), 'gamma': np.float64(0.21257793724562235), 'learning_rate': np.float64(0.03619124943022832), 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 976, 'reg_alpha': np.float64(0.9695846277645586), 'reg_lambda': np.float64(0.7751328233611146), 'subsample': np.float64(0.9757995766256756)}",-0.25830894704730134,-0.2747539592361019,-0.29004450533518217,-0.29664133073672705,-0.2608971135586222,-0.27612917118278696,0.015269920692277592,45,397.50853204727173,3.6126084327697754
2.635914421081543,0.26222031770738535,0.027909326553344726,0.002161798100404129,0.9579309401710595,0.29894998940554257,0.14328113525346753,11,7,751,0.045227288910538066,0.32533033076326434,0.7554709158757928,"{'colsample_bytree': np.float64(0.9579309401710595), 'gamma': np.float64(0.29894998940554257), 'learning_rate': np.float64(0.14328113525346753), 'max_depth': 11, 'min_child_weight': 7, 'n_estimators': 751, 'reg_alpha': np.float64(0.045227288910538066), 'reg_lambda': np.float64(0.32533033076326434), 'subsample': np.float64(0.7554709158757928)}",-0.26906094476561015,-0.2877828099995658,-0.2971160365965967,-0.3080877998794468,-0.2776012837252408,-0.28792977499329203,0.01380916691404559,91,397.50853204727173,3.6126084327697754
2.3800330638885496,0.05584429076568771,0.028415727615356445,0.002302008967324306,0.7085396127095583,0.41436875457596467,0.05851299900403839,9,9,656,0.8021969807540397,0.07455064367977082,0.9947547746402069,"{'colsample_bytree': np.float64(0.7085396127095583), 'gamma': np.float64(0.41436875457596467), 'learning_rate': np.float64(0.05851299900403839), 'max_depth': 9, 'min_child_weight': 9, 'n_estimators': 656, 'reg_alpha': np.float64(0.8021969807540397), 'reg_lambda': np.float64(0.07455064367977082), 'subsample': np.float64(0.9947547746402069)}",-0.2572753269060363,-0.2726094620618415,-0.2880822660179231,-0.2916664694088512,-0.26492564703041893,-0.2749118342850142,0.013192795885867008,32,397.50853204727173,3.6126084327697754
26.00280604362488,0.29001949572680524,0.14361987113952637,0.013185744890498683,0.908897907718663,0.0993578407670862,0.00582831756854036,8,3,1092,0.71134195274865,0.7901755405312056,0.8423839899124046,"{'colsample_bytree': np.float64(0.908897907718663), 'gamma': np.float64(0.0993578407670862), 'learning_rate': np.float64(0.00582831756854036), 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 1092, 'reg_alpha': np.float64(0.71134195274865), 'reg_lambda': np.float64(0.7901755405312056), 'subsample': np.float64(0.8423839899124046)}",-0.2526350957311769,-0.267462540222875,-0.283799057849465,-0.2891043914136178,-0.2596142896728669,-0.2705230749780004,0.013927421247593424,7,397.50853204727173,3.6126084327697754
