mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_min_split_gain,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_time_s
1.354345703125,0.19334171673392692,0.010769796371459962,0.004495714992421826,0.749816047538945,0.1476071459614874,8,17,0.23946339367881464,1114,94,0.45924889196586716,0.33370861113902184,0.6571467271687763,"{'colsample_bytree': np.float64(0.749816047538945), 'learning_rate': np.float64(0.1476071459614874), 'max_depth': 8, 'min_child_samples': 17, 'min_split_gain': np.float64(0.23946339367881464), 'n_estimators': 1114, 'num_leaves': 94, 'reg_alpha': np.float64(0.45924889196586716), 'reg_lambda': np.float64(0.33370861113902184), 'subsample': np.float64(0.6571467271687763)}",-0.25878374106998314,-0.27361685044139267,-0.29159816918049547,-0.2963253832136191,-0.2656041608017813,-0.27718566094145436,0.014557112153326793,96,133.17761945724487
8.405122900009156,0.7942109453427643,0.011503458023071289,0.0015315443452466884,0.8603553891795411,0.01346173685406504,9,39,0.08493564427131046,691,79,0.18340450985343382,0.3042422429595377,0.8099025726528951,"{'colsample_bytree': np.float64(0.8603553891795411), 'learning_rate': np.float64(0.01346173685406504), 'max_depth': 9, 'min_child_samples': 39, 'min_split_gain': np.float64(0.08493564427131046), 'n_estimators': 691, 'num_leaves': 79, 'reg_alpha': np.float64(0.18340450985343382), 'reg_lambda': np.float64(0.3042422429595377), 'subsample': np.float64(0.8099025726528951)}",-0.24922107101922367,-0.26425989178637843,-0.28007510462386725,-0.2811028098881435,-0.2634888101165409,-0.2676295374868307,0.011864172820328586,15,133.17761945724487
1.8054622650146483,0.13493392368977333,0.006563329696655273,0.0028557490242116044,0.7727780074568463,0.04868437102970628,8,37,0.3895022075365837,1282,81,0.0906064345328208,0.6183860093330873,0.7529847965068651,"{'colsample_bytree': np.float64(0.7727780074568463), 'learning_rate': np.float64(0.04868437102970628), 'max_depth': 8, 'min_child_samples': 37, 'min_split_gain': np.float64(0.3895022075365837), 'n_estimators': 1282, 'num_leaves': 81, 'reg_alpha': np.float64(0.0906064345328208), 'reg_lambda': np.float64(0.6183860093330873), 'subsample': np.float64(0.7529847965068651)}",-0.25124945979657887,-0.26838922675281174,-0.2806722069273856,-0.2768577909101482,-0.26140259304719693,-0.26771425548682426,0.010610324327340425,17,133.17761945724487
1.8598480224609375,0.058383480130834026,0.005829286575317383,0.001402536100871165,0.9932923543227152,0.075014433987197,10,16,0.06820964947491662,666,37,0.9488855372533332,0.9656320330745594,0.9233589392465844,"{'colsample_bytree': np.float64(0.9932923543227152), 'learning_rate': np.float64(0.075014433987197), 'max_depth': 10, 'min_child_samples': 16, 'min_split_gain': np.float64(0.06820964947491662), 'n_estimators': 666, 'num_leaves': 37, 'reg_alpha': np.float64(0.9488855372533332), 'reg_lambda': np.float64(0.9656320330745594), 'subsample': np.float64(0.9233589392465844)}",-0.2569718843091919,-0.2729522547137278,-0.28463720218221783,-0.27902198662618627,-0.2701409926557369,-0.27274486409741217,0.009342804944091215,81,133.17761945724487
3.8951533794403077,0.5627655690505551,0.01713452339172363,0.015811604136442437,0.7218455076693483,0.01965081710095758,9,37,0.17606099749584053,954,63,0.4951769101112702,0.034388521115218396,0.9637281608315128,"{'colsample_bytree': np.float64(0.7218455076693483), 'learning_rate': np.float64(0.01965081710095758), 'max_depth': 9, 'min_child_samples': 37, 'min_split_gain': np.float64(0.17606099749584053), 'n_estimators': 954, 'num_leaves': 63, 'reg_alpha': np.float64(0.4951769101112702), 'reg_lambda': np.float64(0.034388521115218396), 'subsample': np.float64(0.9637281608315128)}",-0.2504005638368917,-0.2672581475489284,-0.2779927626220773,-0.28262446201476193,-0.262897383494075,-0.2682346639033469,0.011399842558822938,33,133.17761945724487
1.3867780685424804,0.1920514055296339,0.0053690910339355465,0.002003674984879233,0.7035119926400067,0.1043783426530973,7,15,0.08317666514727554,1271,73,0.03131329245555858,0.8422847745949985,0.7799016533479063,"{'colsample_bytree': np.float64(0.7035119926400067), 'learning_rate': np.float64(0.1043783426530973), 'max_depth': 7, 'min_child_samples': 15, 'min_split_gain': np.float64(0.08317666514727554), 'n_estimators': 1271, 'num_leaves': 73, 'reg_alpha': np.float64(0.03131329245555858), 'reg_lambda': np.float64(0.8422847745949985), 'subsample': np.float64(0.7799016533479063)}",-0.2592872904261724,-0.2750444061854684,-0.2840230848045193,-0.2933942736024942,-0.2611564201114305,-0.2745810950260169,0.013095219525145751,89,133.17761945724487
0.8885766506195069,0.06888864105075956,0.005768775939941406,0.002256235326135508,0.7580600944007257,0.14399882986906912,11,32,0.20833370401032947,1201,59,0.8445338486781514,0.7473201101373809,0.815876852955632,"{'colsample_bytree': np.float64(0.7580600944007257), 'learning_rate': np.float64(0.14399882986906912), 'max_depth': 11, 'min_child_samples': 32, 'min_split_gain': np.float64(0.20833370401032947), 'n_estimators': 1201, 'num_leaves': 59, 'reg_alpha': np.float64(0.8445338486781514), 'reg_lambda': np.float64(0.7473201101373809), 'subsample': np.float64(0.815876852955632)}",-0.25900832404449564,-0.2677982545376555,-0.2831947444853419,-0.28955658926719513,-0.2671505628578332,-0.27334169503850425,0.011265085464090706,82,133.17761945724487
0.722059679031372,0.09995909147177756,0.005696678161621093,0.001196492332041348,0.8347004662655393,0.1497882960896207,9,38,0.32087879230161587,564,90,0.4234014807063696,0.3948815181755697,0.7173952698872152,"{'colsample_bytree': np.float64(0.8347004662655393), 'learning_rate': np.float64(0.1497882960896207), 'max_depth': 9, 'min_child_samples': 38, 'min_split_gain': np.float64(0.32087879230161587), 'n_estimators': 564, 'num_leaves': 90, 'reg_alpha': np.float64(0.4234014807063696), 'reg_lambda': np.float64(0.3948815181755697), 'subsample': np.float64(0.7173952698872152)}",-0.2517436456319032,-0.2669616497969404,-0.28511532337449236,-0.28878584609937186,-0.26531985267558633,-0.27158526351565887,0.013661958410583309,77,133.17761945724487
2.106856679916382,0.26596835446804307,0.007111501693725586,0.0020399050179747778,0.6056319290860338,0.03482636061332077,8,44,0.3085081386743783,1272,60,0.9149596755437808,0.8500385777897993,0.7797802696552814,"{'colsample_bytree': np.float64(0.6056319290860338), 'learning_rate': np.float64(0.03482636061332077), 'max_depth': 8, 'min_child_samples': 44, 'min_split_gain': np.float64(0.3085081386743783), 'n_estimators': 1272, 'num_leaves': 60, 'reg_alpha': np.float64(0.9149596755437808), 'reg_lambda': np.float64(0.8500385777897993), 'subsample': np.float64(0.7797802696552814)}",-0.250893915951582,-0.26376785992172436,-0.27760005566433116,-0.27921646791071575,-0.2599458854495627,-0.26628483697958316,0.010757873233335664,6,133.17761945724487
1.595132064819336,0.1819978637518972,0.004704141616821289,0.001366822457634031,0.6381640465961645,0.06062273782973995,11,33,0.2663689426469987,1183,54,0.4722149251619493,0.1195942459383017,0.885297914889198,"{'colsample_bytree': np.float64(0.6381640465961645), 'learning_rate': np.float64(0.06062273782973995), 'max_depth': 11, 'min_child_samples': 33, 'min_split_gain': np.float64(0.2663689426469987), 'n_estimators': 1183, 'num_leaves': 54, 'reg_alpha': np.float64(0.4722149251619493), 'reg_lambda': np.float64(0.1195942459383017), 'subsample': np.float64(0.885297914889198)}",-0.2542268867804036,-0.27067873485661537,-0.2778735875428052,-0.2843136808804751,-0.26310125293509323,-0.2700388285990785,0.010618020489254242,57,133.17761945724487
1.345572566986084,0.09329099087990604,0.007075786590576172,0.0007662443908806892,0.9043140194467589,0.08919157963542444,11,48,0.01617343581537254,706,34,0.11089082081183133,0.4393365018657701,0.6806876809341584,"{'colsample_bytree': np.float64(0.9043140194467589), 'learning_rate': np.float64(0.08919157963542444), 'max_depth': 11, 'min_child_samples': 48, 'min_split_gain': np.float64(0.01617343581537254), 'n_estimators': 706, 'num_leaves': 34, 'reg_alpha': np.float64(0.11089082081183133), 'reg_lambda': np.float64(0.4393365018657701), 'subsample': np.float64(0.6806876809341584)}",-0.25173602596027767,-0.2633569345286006,-0.2793629767041394,-0.27777162579791503,-0.26673827478281886,-0.26779316755475036,0.010119830740396674,18,133.17761945724487
