mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_search_time_s,final_model_training_time_s
29.205568504333495,0.20254135620574934,2.3982123851776125,0.11786838965762544,9,1.0,24,8,8,621,"{'max_depth': 9, 'max_features': 1.0, 'max_leaf_nodes': 24, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 621}",-0.28456369450928864,-0.2664815478274515,-0.29318015702714534,-0.2999683911707303,-0.2876301050451057,-0.2863647791159443,0.011240066538492079,65,2472.2187995910645,9.684081792831421
53.506471824646,1.0455816701026515,3.2652448177337647,0.061978307851599156,8,0.5,84,8,5,1371,"{'max_depth': 8, 'max_features': 0.5, 'max_leaf_nodes': 84, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 1371}",-0.26748681237364874,-0.25317932287519196,-0.27694643603863517,-0.2822791027989395,-0.269231065373443,-0.26982454789197163,0.009886536030551032,2,2472.2187995910645,9.684081792831421
42.56016030311584,3.7706566369601786,2.1030248641967773,0.40822114421437083,8,1.0,11,8,13,913,"{'max_depth': 8, 'max_features': 1.0, 'max_leaf_nodes': 11, 'min_samples_leaf': 8, 'min_samples_split': 13, 'n_estimators': 913}",-0.3031549539196728,-0.28172766440616875,-0.3183362001422751,-0.32493803884424555,-0.31637918984166225,-0.3089072094308049,0.015320182505385726,91,2472.2187995910645,9.684081792831421
14.583557558059692,2.967205405380651,1.9239341259002685,0.27074022848158763,11,log2,73,5,2,959,"{'max_depth': 11, 'max_features': 'log2', 'max_leaf_nodes': 73, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 959}",-0.2801988034008707,-0.25926177746160867,-0.288516453835293,-0.29792062386334195,-0.2852157047420231,-0.2822226726606275,0.012855305127444903,58,2472.2187995910645,9.684081792831421
70.47116780281067,1.8423173051407316,3.5163759708404543,0.41488663781038965,7,1.0,98,1,11,975,"{'max_depth': 7, 'max_features': 1.0, 'max_leaf_nodes': 98, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 975}",-0.27463968026453534,-0.25973439216914185,-0.2794965830770142,-0.2867565023611138,-0.2700035144155655,-0.27412613445747414,0.009085701768780204,29,2472.2187995910645,9.684081792831421
41.705578088760376,2.7034735313003746,3.641927433013916,0.35063856109171365,9,0.5,64,4,4,984,"{'max_depth': 9, 'max_features': 0.5, 'max_leaf_nodes': 64, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 984}",-0.2711696432066049,-0.2567320463907766,-0.2805079782909864,-0.28391951025049356,-0.2730165720372061,-0.2730691500352135,0.009418899391617845,23,2472.2187995910645,9.684081792831421
61.442820930480956,1.2076954895017091,2.8765672206878663,0.692535400292188,8,1.0,82,7,19,887,"{'max_depth': 8, 'max_features': 1.0, 'max_leaf_nodes': 82, 'min_samples_leaf': 7, 'min_samples_split': 19, 'n_estimators': 887}",-0.27212174866654676,-0.25717469711418983,-0.2768457491411258,-0.28562938600349935,-0.26905482335644754,-0.2721652808563618,0.009355034501478347,13,2472.2187995910645,9.684081792831421
35.09794988632202,4.107976019828552,2.4123927116394044,1.123994309703809,6,0.7,23,2,10,845,"{'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 23, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 845}",-0.28302595338993286,-0.2661309497192819,-0.2925602360564718,-0.2970379553317635,-0.2871788860183091,-0.28518679610315184,0.01064500386729957,62,2472.2187995910645,9.684081792831421
12.583743047714233,0.865158726098267,1.5601392269134522,0.45897455380392876,10,log2,93,7,13,1008,"{'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': 93, 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 1008}",-0.2765029567569355,-0.25706571457398536,-0.28545327858522496,-0.29535823996458777,-0.2821560537043305,-0.2793072487170128,0.012697035775796332,51,2472.2187995910645,9.684081792831421
9.010374498367309,0.6228199071479283,1.3580313205718995,0.44461685586601346,8,sqrt,45,2,9,887,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 45, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 887}",-0.2824080081040287,-0.264384802224763,-0.29089658681055486,-0.3005904505998468,-0.28886772634813546,-0.28542951481746576,0.012029742968438997,63,2472.2187995910645,9.684081792831421
8.938027000427246,1.2700118160923837,1.2663055419921876,1.1045743902087681,7,log2,13,6,19,1229,"{'max_depth': 7, 'max_features': 'log2', 'max_leaf_nodes': 13, 'min_samples_leaf': 6, 'min_samples_split': 19, 'n_estimators': 1229}",-0.34977880259840677,-0.33883037894205015,-0.3630314332048987,-0.37147897192865365,-0.3697626208045315,-0.3585764414957081,0.012480050374669758,99,2472.2187995910645,9.684081792831421
15.654129648208619,1.1700236160765811,2.779580020904541,0.33824777987638976,9,log2,83,4,15,1362,"{'max_depth': 9, 'max_features': 'log2', 'max_leaf_nodes': 83, 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 1362}",-0.27892680285696697,-0.25886824939496,-0.288150664798232,-0.29635055562766066,-0.2844795260282611,-0.28135515974121617,0.012588570256741547,54,2472.2187995910645,9.684081792831421
59.810211181640625,1.5455766596848688,3.5853339195251466,0.8788735870559112,11,0.7,71,8,17,1248,"{'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': 71, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 1248}",-0.2702463330360756,-0.25651276158884695,-0.27790403181543677,-0.2832393188841819,-0.2688023191339493,-0.2713409528916981,0.009079242584583511,4,2472.2187995910645,9.684081792831421
33.904445266723634,2.6380591225606427,3.4610105991363525,0.24367959131273,7,1.0,33,9,14,540,"{'max_depth': 7, 'max_features': 1.0, 'max_leaf_nodes': 33, 'min_samples_leaf': 9, 'min_samples_split': 14, 'n_estimators': 540}",-0.2795061844949018,-0.2636473622492193,-0.2860750946706816,-0.2938629604074624,-0.27907860491201614,-0.28043404134685623,0.009966424345091918,53,2472.2187995910645,9.684081792831421
73.23091607093811,0.7394683005567998,2.2570126056671143,0.6141466528832653,10,1.0,74,9,8,1020,"{'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': 74, 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 1020}",-0.2720836845730005,-0.2580418832402501,-0.27783919917849187,-0.2867414220838932,-0.2692275684726511,-0.2727867515096573,0.009495612519182321,20,2472.2187995910645,9.684081792831421
41.88529300689697,2.8824603794432697,2.699852228164673,1.7857752542659284,6,0.7,17,8,12,998,"{'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 17, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 998}",-0.28852269126522123,-0.26922065602136447,-0.2989963354295521,-0.30358054175205496,-0.2954774479937265,-0.29115953449238385,0.012021718496533447,75,2472.2187995910645,9.684081792831421
35.56437435150146,1.901592641386225,1.2524489879608154,0.26444040532119806,6,0.5,44,1,6,989,"{'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 44, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 989}",-0.2745055255816674,-0.25753669044705824,-0.2823448259102297,-0.287329130798532,-0.27616399033967204,-0.27557603261543184,0.01010803071851078,38,2472.2187995910645,9.684081792831421
15.030021238327027,1.5427420262621683,1.4901866436004638,0.23122885536235524,7,sqrt,37,7,10,1339,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 37, 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 1339}",-0.28805687247836265,-0.2693368947158916,-0.29535428232726674,-0.3046198987686607,-0.29422077741667413,-0.29031774514137115,0.011751251813489837,72,2472.2187995910645,9.684081792831421
6.94886212348938,0.5567802432288148,1.2582266807556153,0.3381276325210937,9,log2,42,7,6,598,"{'max_depth': 9, 'max_features': 'log2', 'max_leaf_nodes': 42, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 598}",-0.2920924510066111,-0.27103229444135085,-0.29933967396493416,-0.3097082573162663,-0.2973196507388656,-0.29389846549360554,0.012785806525244454,81,2472.2187995910645,9.684081792831421
39.84832181930542,0.9334121317875742,1.5470614433288574,0.8035393607762361,9,0.5,44,1,4,1112,"{'max_depth': 9, 'max_features': 0.5, 'max_leaf_nodes': 44, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1112}",-0.2749631357453226,-0.2603724009171696,-0.2840323999404284,-0.287545079019182,-0.2778452114427749,-0.27695164541297557,0.009401934899230269,42,2472.2187995910645,9.684081792831421
34.00594115257263,5.926153213751232,2.635084056854248,1.6392812330959108,11,0.5,10,5,15,1370,"{'max_depth': 11, 'max_features': 0.5, 'max_leaf_nodes': 10, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 1370}",-0.30676859426085107,-0.28594656386884665,-0.3137910111569278,-0.31668839779305413,-0.3149878545855732,-0.3076364843330506,0.011358378979623876,90,2472.2187995910645,9.684081792831421
11.541304779052734,0.8123992467429522,2.8322517395019533,0.10915636862694278,8,sqrt,88,3,8,740,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 88, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 740}",-0.27457934100134096,-0.2553491289293683,-0.2843348153792825,-0.2925229063421427,-0.2805600319409108,-0.277469244718609,0.012497622337473566,45,2472.2187995910645,9.684081792831421
62.65271706581116,2.2024005828712983,3.553582763671875,0.7090220516806515,9,1.0,13,5,8,1248,"{'max_depth': 9, 'max_features': 1.0, 'max_leaf_nodes': 13, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1248}",-0.2981345592368328,-0.2768636781528372,-0.3117407365265049,-0.318836488778303,-0.30834452998863615,-0.3027839985366228,0.014576044751632653,86,2472.2187995910645,9.684081792831421
71.71953544616699,2.9086225024580408,3.7193652629852294,0.9500595196411669,8,1.0,45,7,3,1181,"{'max_depth': 8, 'max_features': 1.0, 'max_leaf_nodes': 45, 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 1181}",-0.27601078985424826,-0.2622459569327763,-0.28323675736949033,-0.29025364314398455,-0.2744915047620695,-0.27724773041251377,0.009372323289219478,43,2472.2187995910645,9.684081792831421
14.904668855667115,1.0597471001639476,3.04394474029541,0.7265287793200305,10,sqrt,15,4,12,1139,"{'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 15, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 1139}",-0.32061675697483977,-0.3030348571507148,-0.32742369553467066,-0.33665868247128633,-0.3335007304192974,-0.3242469445101618,0.011940740777907142,94,2472.2187995910645,9.684081792831421
46.55702667236328,0.9437535971741515,3.059959363937378,0.1735586880465308,7,0.7,98,7,2,884,"{'max_depth': 7, 'max_features': 0.7, 'max_leaf_nodes': 98, 'min_samples_leaf': 7, 'min_samples_split': 2, 'n_estimators': 884}",-0.26958864270341215,-0.25503612941618825,-0.27619439183743927,-0.28314763536377785,-0.2680489319202638,-0.27040314624821626,0.009362814488535272,3,2472.2187995910645,9.684081792831421
